AGE;Sex;Year;Count
[10,15);M;2007;3
[10,15);M;2008;3
[10,15);M;2009;1
[10,15);M;2010;1
[10,15);M;2011;1
[10,15);M;2012;1
[10,15);M;2013;1
[15,20);M;2007;707
[15,20);M;2008;720
[15,20);M;2009;759
[15,20);M;2010;682
[15,20);M;2011;579
[15,20);M;2012;486
[15,20);M;2013;462
[20,25);M;2007;4265
[20,25);M;2008;4564
[20,25);M;2009;4709
[20,25);M;2010;4684
[20,25);M;2011;4448
[20,25);M;2012;4392
[20,25);M;2013;4114
[25,30);M;2007;9099
[25,30);M;2008;9581
[25,30);M;2009;9899
[25,30);M;2010;9656
[25,30);M;2011;9656
[25,30);M;2012;9648
[25,30);M;2013;9561
[30,35);M;2007;10090
[30,35);M;2008;10234
[30,35);M;2009;10239
[30,35);M;2010;10270
[30,35);M;2011;10086
[30,35);M;2012;10337
[30,35);M;2013;10087
[35,40);M;2007;4974
[35,40);M;2008;5091
[35,40);M;2009;5252
[35,40);M;2010;5130
[35,40);M;2011;5195
[35,40);M;2012;5035
[35,40);M;2013;4865
[40,45);M;2007;821
[40,45);M;2008;886
[40,45);M;2009;921
[40,45);M;2010;985
[40,45);M;2011;983
[40,45);M;2012;972
[40,45);M;2013;948
[45,50);M;2007;34
[45,50);M;2008;36
[45,50);M;2009;38
[45,50);M;2010;49
[45,50);M;2011;55
[45,50);M;2012;54
[45,50);M;2013;43
[50,100);M;2007;0
[50,100);M;2008;1
[50,100);M;2009;1
[50,100);M;2010;2
[50,100);M;2011;1
[50,100);M;2012;5
[50,100);M;2013;3
[10,15);F;2007;1
[10,15);F;2008;1
[10,15);F;2009;0
[10,15);F;2010;2
[10,15);F;2011;1
[10,15);F;2012;1
[10,15);F;2013;1
[15,20);F;2007;674
[15,20);F;2008;715
[15,20);F;2009;721
[15,20);F;2010;637
[15,20);F;2011;535
[15,20);F;2012;465
[15,20);F;2013;430
[20,25);F;2007;4067
[20,25);F;2008;4229
[20,25);F;2009;4323
[20,25);F;2010;4360
[20,25);F;2011;4214
[20,25);F;2012;4233
[20,25);F;2013;3926
[25,30);F;2007;8621
[25,30);F;2008;9167
[25,30);F;2009;9328
[25,30);F;2010;9285
[25,30);F;2011;9184
[25,30);F;2012;9226
[25,30);F;2013;9167
[30,35);F;2007;9637
[30,35);F;2008;9560
[30,35);F;2009;9669
[30,35);F;2010;9755
[30,35);F;2011;9484
[30,35);F;2012;9551
[30,35);F;2013;9621
[35,40);F;2007;4602
[35,40);F;2008;4832
[35,40);F;2009;5002
[35,40);F;2010;4945
[35,40);F;2011;4769
[35,40);F;2012;4833
[35,40);F;2013;4614
[40,45);F;2007;817
[40,45);F;2008;810
[40,45);F;2009;877
[40,45);F;2010;944
[40,45);F;2011;986
[40,45);F;2012;956
[40,45);F;2013;999
[45,50);F;2007;28
[45,50);F;2008;32
[45,50);F;2009;40
[45,50);F;2010;48
[45,50);F;2011;38
[45,50);F;2012;53
[45,50);F;2013;36
[50,100);F;2007;0
[50,100);F;2008;1
[50,100);F;2009;1
[50,100);F;2010;2
[50,100);F;2011;2
[50,100);F;2012;0
[50,100);F;2013;0
