Age;Year;Fertility_Rate
15;2000;0,00066
15;2001;0,00046
15;2002;0,00055
15;2003;0,00046
15;2004;0,00051
15;2005;0,00026
15;2006;0,00029
15;2007;0,00045
15;2008;0,00042
15;2009;0,00045
15;2010;0,00042
15;2011;0,00029
15;2012;0,00022
15;2013;0,00045
15;2014;0,00016
16;2000;0,00228
16;2001;0,00217
16;2002;0,00235
16;2003;0,00243
16;2004;0,00183
16;2005;0,00192
16;2006;0,00179
16;2007;0,00170
16;2008;0,00200
16;2009;0,00198
16;2010;0,00164
16;2011;0,00138
16;2012;0,00130
16;2013;0,00120
16;2014;0,00077
17;2000;0,00880
17;2001;0,00753
17;2002;0,00703
17;2003;0,00585
17;2004;0,00490
17;2005;0,00531
17;2006;0,00547
17;2007;0,00665
17;2008;0,00641
17;2009;0,00575
17;2010;0,00577
17;2011;0,00429
17;2012;0,00411
17;2013;0,00377
17;2014;0,00395
18;2000;0,01563
18;2001;0,01574
18;2002;0,01476
18;2003;0,01309
18;2004;0,01137
18;2005;0,01118
18;2006;0,01321
18;2007;0,01281
18;2008;0,01300
18;2009;0,01344
18;2010;0,01135
18;2011;0,00989
18;2012;0,00824
18;2013;0,00803
18;2014;0,00658
19;2000;0,03066
19;2001;0,02901
19;2002;0,02603
19;2003;0,02454
19;2004;0,02366
19;2005;0,02335
19;2006;0,02462
19;2007;0,02495
19;2008;0,02496
19;2009;0,02558
19;2010;0,02253
19;2011;0,01950
19;2012;0,01628
19;2013;0,01468
19;2014;0,01338
20;2000;0,04375
20;2001;0,04049
20;2002;0,03851
20;2003;0,03548
20;2004;0,03570
20;2005;0,03532
20;2006;0,03712
20;2007;0,03705
20;2008;0,03570
20;2009;0,03683
20;2010;0,03387
20;2011;0,03070
20;2012;0,02714
20;2013;0,02511
20;2014;0,02241
21;2000;0,05529
21;2001;0,04992
21;2002;0,04778
21;2003;0,04668
21;2004;0,04812
21;2005;0,04661
21;2006;0,04398
21;2007;0,04855
21;2008;0,04853
21;2009;0,04867
21;2010;0,04838
21;2011;0,04082
21;2012;0,04083
21;2013;0,03548
21;2014;0,03293
22;2000;0,06361
22;2001;0,06041
22;2002;0,06014
22;2003;0,05643
22;2004;0,05969
22;2005;0,05493
22;2006;0,05944
22;2007;0,05914
22;2008;0,06356
22;2009;0,06122
22;2010;0,05969
22;2011;0,05078
22;2012;0,04926
22;2013;0,04715
22;2014;0,04153
23;2000;0,07852
23;2001;0,07280
23;2002;0,06854
23;2003;0,06772
23;2004;0,06802
23;2005;0,07077
23;2006;0,06948
23;2007;0,07300
23;2008;0,07520
23;2009;0,07544
23;2010;0,07008
23;2011;0,06846
23;2012;0,06531
23;2013;0,05901
23;2014;0,05439
24;2000;0,09304
24;2001;0,08879
24;2002;0,08186
24;2003;0,08678
24;2004;0,08480
24;2005;0,08416
24;2006;0,09035
24;2007;0,08475
24;2008;0,08872
24;2009;0,08707
24;2010;0,08520
24;2011;0,08244
24;2012;0,08039
24;2013;0,07355
24;2014;0,07035
25;2000;0,10586
25;2001;0,10068
25;2002;0,09634
25;2003;0,09763
25;2004;0,09940
25;2005;0,09842
25;2006;0,10087
25;2007;0,10036
25;2008;0,10385
25;2009;0,10444
25;2010;0,10344
25;2011;0,09573
25;2012;0,09428
