"","Age","Sex","Geo","Year","Population"
"1","TOTAL","F","AD",2015,NA
"2","TOTAL","F","AL",2015,1431000
"3","TOTAL","F","AM",2015,NA
"4","TOTAL","F","AT",2015,4381296
"5","TOTAL","F","AZ",2015,NA
"6","TOTAL","F","BA",2015,NA
"7","TOTAL","F","BE",2015,5722178
"8","TOTAL","F","BG",2015,3700183
"9","TOTAL","F","BY",2015,NA
"10","TOTAL","F","CH",2015,4163786
"11","TOTAL","F","CY",2015,435183
"12","TOTAL","F","CZ",2015,5361348
"13","TOTAL","F","DE",2015,41362080
"14","TOTAL","F","DE_TOT",2015,41362080
"15","TOTAL","F","DK",2015,2848701
"16","TOTAL","F","EA18",2015,171832210
"17","TOTAL","F","EA19",2015,173407215
"18","TOTAL","F","EE",2015,698882
"19","TOTAL","F","EEA30",2015,260802521
"20","TOTAL","F","EEA31",2015,262988610
"21","TOTAL","F","EFTA",2015,6913804
"22","TOTAL","F","EL",2015,5589628
"23","TOTAL","F","ES",2015,23623019
"24","TOTAL","F","EU27",2015,258052503
"25","TOTAL","F","EU28",2015,260238592
"26","TOTAL","F","FI",2015,2779890
"27","TOTAL","F","FR",2015,34234992
"28","TOTAL","F","FX",2015,NA
"29","TOTAL","F","GE",2015,NA
"30","TOTAL","F","HR",2015,2186089
"31","TOTAL","F","HU",2015,5159792
"32","TOTAL","F","IE",2015,2341866
"33","TOTAL","F","IS",2015,163914
"34","TOTAL","F","IT",2015,31294022
"35","TOTAL","F","LI",2015,18813
"36","TOTAL","F","LT",2015,1575005
"37","TOTAL","F","LU",2015,280986
"38","TOTAL","F","LV",2015,1074889
"39","TOTAL","F","MC",2015,NA
"40","TOTAL","F","MD",2015,NA
"41","TOTAL","F","ME",2015,314577
"42","TOTAL","F","MK",2015,1032654
"43","TOTAL","F","MT",2015,214609
"44","TOTAL","F","NL",2015,8527868
"45","TOTAL","F","NO",2015,2567291
"46","TOTAL","F","PL",2015,19608451
"47","TOTAL","F","PT",2015,5451156
"48","TOTAL","F","RO",2015,10163573
"49","TOTAL","F","RS",2015,3649994
"50","TOTAL","F","RU",2015,NA
"51","TOTAL","F","SE",2015,4875115
"52","TOTAL","F","SI",2015,1040645
"53","TOTAL","F","SK",2015,2779021
"54","TOTAL","F","SM",2015,NA
"55","TOTAL","F","TR",2015,38711602
"56","TOTAL","F","UA",2015,NA
"57","TOTAL","F","UK",2015,32928125
"58","TOTAL","F","XK",2015,NA
"59","TOTAL","M","AD",2015,NA
"60","TOTAL","M","AL",2015,1462005
"61","TOTAL","M","AM",2015,NA
"62","TOTAL","M","AT",2015,4194965
"63","TOTAL","M","AZ",2015,NA
"64","TOTAL","M","BA",2015,NA
"65","TOTAL","M","BE",2015,5536256
"66","TOTAL","M","BG",2015,3502015
"67","TOTAL","M","BY",2015,NA
"68","TOTAL","M","CH",2015,4073880
"69","TOTAL","M","CY",2015,411825
"70","TOTAL","M","CZ",2015,5176927
"71","TOTAL","M","DE",2015,39835457
"72","TOTAL","M","DE_TOT",2015,39835457
"73","TOTAL","M","DK",2015,2811014
"74","TOTAL","M","EA18",2015,163717528
"75","TOTAL","M","EA19",2015,165063785
"76","TOTAL","M","EE",2015,614389
"77","TOTAL","M","EEA30",2015,248955978
"78","TOTAL","M","EEA31",2015,250995205
"79","TOTAL","M","EFTA",2015,6856821
"80","TOTAL","M","EL",2015,5268390
"81","TOTAL","M","ES",2015,22826546
"82","TOTAL","M","EU27",2015,246173037
"83","TOTAL","M","EU28",2015,248212264
"84","TOTAL","M","FI",2015,2691863
"85","TOTAL","M","FR",2015,32180169
"86","TOTAL","M","FX",2015,NA
"87","TOTAL","M","GE",2015,NA
"88","TOTAL","M","HR",2015,2039227
"89","TOTAL","M","HU",2015,4695779
"90","TOTAL","M","IE",2015,2287083
"91","TOTAL","M","IS",2015,165186
"92","TOTAL","M","IT",2015,29501590
"93","TOTAL","M","LI",2015,18553
"94","TOTAL","M","LT",2015,1346257
"95","TOTAL","M","LU",2015,281972
"96","TOTAL","M","LV",2015,911207
"97","TOTAL","M","MC",2015,NA
"98","TOTAL","M","MD",2015,NA
"99","TOTAL","M","ME",2015,307522
"100","TOTAL","M","MK",2015,1036518
"101","TOTAL","M","MT",2015,214735
"102","TOTAL","M","NL",2015,8372858
"103","TOTAL","M","NO",2015,2599202
"104","TOTAL","M","PL",2015,18397163
"105","TOTAL","M","PT",2015,4923666
"106","TOTAL","M","RO",2015,9707074
